Using Volk machine: sse4_a_64_orc
0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 0.000000
-0.000000, 0.062790, 0.000114, -0.000210, 0.000000, 0.000000
0.000007, 0.125326, 0.000837, 0.000018, -0.000420, 0.000000
0.000275, 0.187106, 0.003448, 0.001096, -0.000079, -0.000626
0.001139, 0.247551, 0.005735, 0.004551, 0.001348, -0.000175
0.003643, 0.305373, 0.010308, 0.007373, 0.005610, 0.001584
0.007840, 0.360284, 0.014826, 0.012768, 0.008939, 0.006613
0.015477, 0.410302, 0.022132, 0.017913, 0.015083, 0.010404
0.029309, 0.452446, 0.032526, 0.025970, 0.020756, 0.017179
0.050887, 0.484940, 0.045256, 0.037110, 0.029392, 0.023260
0.085117, 0.502667, 0.060152, 0.050305, 0.040940, 0.032211
0.112823, 0.524600, 0.070683, 0.065851, 0.054710, 0.044263
0.151378, 0.533169, 0.085392, 0.076554, 0.070510, 0.058259
0.202306, 0.526663, 0.102898, 0.091084, 0.081083, 0.073865
0.235350, 0.535162, 0.116767, 0.108872, 0.095847, 0.084609
0.311279, 0.497736, 0.134285, 0.121772, 0.112391, 0.098340
0.386765, 0.457562, 0.151334, 0.137875, 0.124249, 0.113549
0.431985, 0.444323, 0.165505, 0.154431, 0.139887, 0.125064
0.518726, 0.386100, 0.179991, 0.166745, 0.154273, 0.138653
0.579626, 0.350148, 0.193302, 0.179883, 0.165441, 0.151699
0.627660, 0.323396, 0.205385, 0.192176, 0.177575, 0.162014
0.692638, 0.275946, 0.215725, 0.202487, 0.188064, 0.172367
0.734685, 0.247600, 0.225161, 0.211764, 0.197316, 0.181780
0.791535, 0.200577, 0.233540, 0.219408, 0.204832, 0.189274
0.782560, 0.215465, 0.240218, 0.228409, 0.213043, 0.197347
0.833929, 0.166074, 0.247033, 0.233557, 0.219980, 0.203676
0.867141, 0.130885, 0.252212, 0.238927, 0.224037, 0.209144
0.836940, 0.155173, 0.257348, 0.245068, 0.230404, 0.213954
0.910353, 0.071933, 0.260257, 0.247448, 0.233251, 0.216905
0.917621, 0.050963, 0.262292, 0.249509, 0.234938, 0.218922
0.946221, 0.004835, 0.262498, 0.249702, 0.235133, 0.219082
0.984890, -0.055115, 0.260284, 0.247362, 0.232932, 0.216853
0.943563, -0.038738, 0.258906, 0.245806, 0.231287, 0.215306
0.890704, -0.014396, 0.258436, 0.245294, 0.230709, 0.214695
0.856228, -0.011900, 0.258003, 0.244906, 0.230285, 0.214217
0.809312, -0.000296, 0.257993, 0.244895, 0.230276, 0.214206
0.810696, -0.040184, 0.256568, 0.243600, 0.228813, 0.212894
0.754381, -0.025413, 0.255933, 0.242698, 0.227994, 0.211968
0.720639, -0.036092, 0.254827, 0.241797, 0.226713, 0.210805
0.640363, -0.002940, 0.254768, 0.241707, 0.226640, 0.210701
